2016-03-19T19:30:00;Jenny Eclair: How To Be A Middle Aged Woman (Without Going Insane);Jenny Eclair is younger than Madonna, but you won't catch her falling down any stairs at the Brit Awards. Her new show is about middle aged and whether you're better off accepting it or fighting to the death.;http://www.jennyeclair.com/
2015-07-11T15:00:00;American Wrestling Presented by W3L;Big characters and bigger body slams at this family friendly American-style wrestling show featuring stars from the World Wide Wrestling League.;http://www.w3lwrestling.com
2015-07-05T20:00:00;Jimmy Carr: Funny Business;Acerbic wit and dark, deadpan one-liners from familiar telly face Carr.;http://www.jimmycarr.com
2015-04-15T14:30:00;The Woman in Black;Theatre experience with a heavy film noir influence, about a young lawyer trying to exorcise his metaphorical demons.;http://www.thewomaninblack.com/
2015-10-17T19:30:00;Live / Wire: AC / DC Tribute;Very timely AC/DC tribute act.;http://www.livewiredc.co.uk
2015-05-13T19:30:00;Illegal Eagles;Tribute band to the prolific Hotel California songsters.;http://www.illegaleagles.com
2015-11-18T20:00:00;The Johnny Cash Roadshow;Cash tribute from singer/songwriter Clive John.;http://www.johnnycashroadshow.com/
2015-05-15T20:00:00;Dara O'Briain: Crowd Tickler;The Irish comedy star and host of BBC2's Mock the Week returns to with his observational humour in a new show -- Crowd Tickler.;http://www.daraobriain.com/
2015-05-23T19:00:00;Boot Led Zeppelin;Homage to the rock legends.;http://www.boot-led-zeppelin.co.uk
2015-05-13T14:30:00;Jeeves & Wooster in Perfect Nonsense;A new comedy based on the writings of PG Wodehouse, starring James Lance as aristocratic fool Bertie Wooster and John Gordon Sinclair as his trusted valet, Jeeves, who is called in to help his master play matchmaker in the countryside. Directed by Sean Foley.;http://www.jeevesandwoosterplay.com/
2015-07-17T20:00:00;Michael McIntyre: Happy and Glorious;The dapper dafty performs to gigantic audiences following his stint as host on Michael McIntyre's Chat Show.;http://www.michaelmcintyre.co.uk/
2015-04-19T19:30:00;Black;Aka Colin Vearncombe, singer/songwriter best known for 'Wonderful Life' and 'Sweetest Smile'.;http://www.colinvearncombe.com
2015-08-27T21:30:00;Alexi Murdoch;Live performance from the singer-songwriter.;http://www.aleximurdoch.com/
2015-05-21T20:00:00;Honeyblood;Glasgow-based grunge rock duo featuring Cat Myers on drums and Stina Tweeddale on guitar and vocals.;http://honeyblood.co.uk/
2015-06-09T18:00:00;Young Fathers ;Bass and electro heavy hip hop from Edinburgh threesome who won both the 2014 SAY award and the Mercury Prize.;http://www.young-fathers.com
2015-04-16T18:00:00;Stuart David: In The All-Night Cafe;The Belle and Sebastian co-founder discusses his work, In The All-Night Cafe, with Vic Galloway.;http://www.stuart-david.com/
2015-04-17T20:00:00;Lorna Reid;Cool and classy local vocalist singing songs from the likes of Rogers &amp Hart to Gershwin and Cole Porter.;http://www.lornareid.com
2015-05-16T19:30:00;Voca People;The YouTube sensations take their show on the road -- expect a capella / beatboxing and mouth music like you've never heard before.;http://www.voca-people.com
2015-04-14T10:30:00;Celeste's Circus;Following Celeste under the big top as her cast of endearing animals emerge one by one. A charming and engaging first trip to the circus especially for very young children (0--5 years).;http://fauxtheatre.weebly.com/celestes-circus.html
2015-05-09T19:30:00;Cadenza;Cadenza, founded in 1992, is one of Scotland's leading amateur choirs with a repertoire that reaches from the Renaissance to the present. ;http://cadenza.org.uk/
2015-05-12T09:45:00;Hup;Starcatchers and RSNO (SCOTLAND) present a musical performance for wee ones aged 0--2. The relaxed performance includes two violins, a cello, a raccoon and the story of a tree.;http://www.starcatchers.org.uk/
2015-08-18T19:00:00;Sturgill Simpson;Nashville based country singer-songwriter.;http://sturgillsimpson.com
2015-04-04T19:00:00;Reef ;Britrockers who sounded anachronistic even back in their 90s heyday celebrate their 20th anniversary.;http://www.thereefweb.co.uk/
2015-12-22T15:00:00;Wee Cinderella;Scottish Ballet's Cinderella, specially adapted for younger audiences. The show is performed by the company's dancers with live music from the Scottish Ballet Orchestra.;http://www.scottishballet.co.uk/
2015-05-17T20:00:00;One Night of Elvis: Lee 'Memphis' King;An evening in the company of top Elvis impersonator Lee 'Memphis' King, performing a selection of Presley's hip-shaking greatest hits.;http://www.leememphisking.com/
2015-04-19T20:00:00;Davina & the Vagabonds;Fierce New Orleans jazz, soul and swing from the Minnesotan blues chanteuse.;http://davinaandthevagabonds.com/
2015-04-03T18:00:00;The Doors Alive;Tribute to Jim Morrison's seminal LA rock crew.;http://www.thedoorsalive.co.uk
2015-06-14T19:30:00;Electric Eel Shock;High voltage Japanese garage rockers.;http://www.electriceelshock.com
2015-04-25T20:00:00;Positive Help: 25th Birthday Ceilidh;A ceilidh, tribal belly dancing, raffle and buffet to celebrate 25 years of Positive Help, which supports adults and children living with HIV and Hepatitis C. Funds raised to towards supporting their work.;http://www.positivehelpedinburgh.co.uk/
2016-01-01T19:30:00;Scottish Chamber Orchestra: New Year in Vienna;The Scottish Chamber Orchestra's annual New year concert is always a glittering shindig, but the proceeds go to Marie Curie Cancer Care.;http://www.sco.org.uk
2016-02-26T19:30:00;RSNO: Rachmaninov's Third Piano Concerto;Two works by composers who lived through the Soviet era, Shostakovich's Symphony No 6 and Rodion Shchedrin's Concerto for Orchestra No 1 'Naughty Limericks' and Rachmaninov's Piano Concerto No 3, a piece so big and challenging that at least one pianist felt bad that he hadn't learned it when he was a student and therefore 'too young to know fear'. Boris Giltburg is the soloist here, with Carlos Miguel Prieto conducting.;http://www.rsno.org.uk/
2015-04-18T08:00:00;Record Store Day at Underground Solu'shn;A day to celebrate all things vinyl and the continuing survival of independent Record Shops. The shop opens early offering a first-come-first-served' on almost 550 exclusive vinyl releases only available for Record Store Day. There's live performances from James Yorkston and Randolf's Leap and vinyl DJ sets from Finitribe and Vic Galloway.;http://www.recordstoreday.co.uk/
